Flavor, Single_Percentage, Rate, Cost, Volume, Used in recipes, Note
Acetyl Pyrazine 5% (TPA), n/a, n/a, 2.39, 15.00, X, n/a
Banana (Purilum), n/a, n/a, 1.39, 15.00, X, n/a
Banana Cream (TPA), n/a, n/a, 1.09, 15.00, X, n/a
Banana Nut Bread (TPA), n/a, n/a, 1.09, 15.00, X, n/a
Bananascotch Cream (Purilum), n/a, n/a, 1.39, 15.00, X, n/a
Bavarian Cream (TPA), n/a, n/a, 6.19, 120.00, X, n/a
Biscuit (Inawera), n/a, n/a, 2.49, 15.00, X, n/a
Blackcurrant (Ribes) (FA), n/a, n/a, 3.40, 15.00, X, n/a
Blueberry Extra (TPA), n/a, n/a, 1.09, 15.00, X, n/a
Brown Sugar (TPA), n/a, n/a, 1.39, 15.00, X, n/a
Butterscotch (Flavorah), n/a, n/a, 5.49, 15.00, X, n/a
Candy Cane (FW), n/a, n/a, 1.49, 15.00, X, n/a
Caramel (TPA), n/a, n/a, 1.19, 15.00, -, n/a
Catalan Cream (FA), n/a, n/a, 3.40, 15.00, X, n/a
Golden Pineapple (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Greek Yogurt (TPA), n/a, n/a, 1.59, 15.00, X, n/a
Hazelnut (FW), n/a, n/a, 1.29, 15.00, X, n/a
Joker / Burlone (Pazzo) (FA), 6.0, n/a, 2.36, 15.00, X, n/a
Juicy Lemon (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Juicy Peach (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Kiwi (Double) (TPA), n/a, n/a, 1.29, 15.00, X, n/a
Kiwi (Purilum), n/a, n/a, 1.39, 15.00, X, n/a
Koolada (10%) TFA / (TPA), n/a, n/a, 1.69, 15.00, X, n/a
Lemonade (Purilum), n/a, n/a, 1.39, 15.00, X, n/a
Marshmallow (TPA), n/a, n/a, 1.09, 15.00, -, n/a
Menthol (TPA), n/a, n/a, 3.09, 15.00, X, n/a
Meringue (FA), n/a, n/a, 3.40, 15.00, X, n/a
Milk and Honey (Flavorah), n/a, n/a, 5.49, 15.00, X, n/a
New York Cheesecake (Cap), n/a, n/a, n/a, n/a, X, n/a
New York Cheesecake v2 (Cap), n/a, n/a, 1.99, 15.00, -, n/a
Orange Cream (TPA), n/a, n/a, 1.09, 15.00, -, n/a
Orange Mandarin (TPA), n/a, n/a, 2.78, 30.00, -, n/a
Peach, White (FA), n/a, n/a, 3.40, 15.00, X, n/a
Peppermint (TPA), n/a, n/a, 1.49, 15.00, X, n/a
Pistachio (TPA), n/a, n/a, 1.29, 15.00, -, n/a
Rice Crunchies (TPA), n/a, n/a, 1.49, 15.00, X, n/a
RY4 (Hangsen), n/a, n/a, 3.79, 15.00, X, n/a
RY4 Double (TPA), n/a, n/a, 1.49, 15.00, X, n/a
Saline (0.9% solution), n/a, n/a, 0.03, 200.00, X, n/a
Strawberries and Cream (TPA), n/a, n/a, 1.29, 15.00, X, n/a
Strawberry (Ripe) (TPA), n/a, n/a, 1.49, 15.00, X, n/a
Strawberry (TPA), n/a, n/a, 1.29, 15.00, X, n/a
Sugar Cookie (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Sweet Cream (TPA), n/a, n/a, n/a, n/a, -, n/a
Sweet Cream DX (TPA), n/a, n/a, 1.29, 15.00, -, n/a
Sweet Strawberry (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Vanilla Bean Ice Cream (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Vanilla Custard (Cap), n/a, n/a, n/a, n/a, X, n/a
Vanilla Custard v2 (Cap), n/a, n/a, 1.99, 15.00, X, n/a
Vanilla Swirl (TPA), n/a, n/a, 1.49, 15.00, X, n/a
Vanilla Whipped Cream (Cap), n/a, n/a, 1.99, 15.00, -, n/a
Whipped Cream (TPA), n/a, n/a, 1.09, 15.00, X, n/a
Wintergreen (TPA), n/a, n/a, 1.09, 15.00, X, n/a
